,new_0,new_1,new_2,new_3,new_4,new_5
Deletion,0.007456107204779983,0.004522554809227586,0.0061523060780018565,0.004522554809227586,0.004522554809227586,0.02432393990457058
Insertion,0.007456107204779983,0.02432393990457058,0.010362415621057153,0.02432376518845558,0.02432393990457058,0.004522554809227586
MuFidelity,0.0,0.0,0.00036835008348634743,0.0,0.0,-0.004887652153099819
CosSim,0.033323763463394704,0.7205574882175979,0.03584155911515717,0.7203805377000556,0.7205879241983983,0.7205879241983983
_CosSim,-0.010188609242218948,0.7205574882175979,0.03584155911515717,0.7203805377000556,0.7205879241983983,-0.7205879241983983
SSIM,0.9667186816533405,0.9665472324689229,0.002683871320817464,0.9664415248235066,0.9665475328763327,0.9569709197680156
Conciseness,0.9950082376700682,0.9950082376700682,0.0,0.0,0.9950082376700682,0.9950082376700682
F1,1.0,1.0,0.009908165802440467,0.009908165802440467,1.0,1.0
MAE,0.005024469667309038,0.0035135119701892085,0.500730906518383,0.004009557124903095,0.0035120317178060716,0.006471492942057874
IoU,1.0,1.0,0.004991762329931973,0.004991762329931973,1.0,1.0
PR,1.0,1.0,0.004991762329931973,0.004991762329931973,1.0,1.0
RE,1.0,1.0,1.0,1.0,1.0,1.0
EBPG,1.0,1.0,0.002969555943273008,0.6948600633939108,1.0,1.0
RRA,1.0,1.0,0.12951020308075595,1.0,1.0,1.0
soft_PR_abs,1.0,1.0,0.002969555943273008,0.6948600633939108,1.0,1.0
soft_RE_abs,0.4983420256193557,0.3132990493667228,0.3136112009644529,0.3136112009644529,0.3136112009644529,0.3136112009644529
soft_F1_abs,0.6650874009392568,0.47009080644191936,0.005861013399172791,0.424839572861966,0.47044415161866243,0.47044415161866243
soft_PR_pos,0.518104149500529,1.0,0.004089428582228721,0.7560676288604736,1.0,0.0
soft_RE_pos,0.2504230238328416,0.47293775597346316,0.47339397394270033,0.47339397394270033,0.47339397394270033,0.0
soft_F1_pos,0.3281048384528632,0.6178392377319819,0.008051674836104826,0.5609970818189115,0.6182335963623065,0.0
soft_PR_neg,0.4744940537710985,1.0,0.0018452690095485495,0.5848075830936432,1.0,0.0
soft_RE_neg,0.24144099420617882,0.22390211350853542,0.22414307703673972,0.22414307703673972,0.22414307703673972,0.0
soft_F1_neg,0.3050870104546552,0.35882338167424754,0.0036456124005404774,0.31225833048673995,0.35913631031756643,0.0
_soft_PR_abs,1.0,1.0,0.002969555943273008,0.6948600633939108,1.0,1.0
_soft_RE_abs,0.49834202726682025,0.3132990469535192,0.31361120442549384,0.31361120442549384,0.31361120442549384,0.31361120442549384
_soft_F1_abs,0.665087396575705,0.4700908064040756,0.005861013362881725,0.4248395767113882,0.4704441567019355,0.4704441567019355
_soft_PR_pos,0.518104149500529,1.0,0.004089428582228721,0.7560676288604736,1.0,0.0
_soft_RE_pos,0.2504230219125748,0.47293775538603466,0.47339398185412096,0.47339398185412096,0.47339398185412096,0.0
_soft_F1_pos,0.3281048351492196,0.6178392427760484,0.008051674888904794,0.5609970897348612,0.6182336019539927,0.0
_soft_PR_neg,0.4744940537710985,1.0,0.0018452690095485495,0.5848075830936432,1.0,0.0
_soft_RE_neg,0.2414409963289897,0.22390211075544358,0.224143078327179,0.224143078327179,0.224143078327179,0.0
_soft_F1_neg,0.30508701631002083,0.35882337469475867,0.0036456123586599163,0.3122583336683206,0.3591363037853138,0.0
Atten_C,1.0,1.0,0.002969555943273008,0.6948600633939108,1.0,1.0
Atten_NC,0.0,0.0,0.9970304322242736,0.30513989965120947,0.0,0.0
cpa!=,1.0,1.0,0.002969556029043761,0.6948601019861989,1.0,1.0
cpl!=,0.4983420323598825,0.31329905664481716,0.3136112013670088,0.3136112013670088,0.3136112013670088,0.3136112013670088
cor!=,0.7491710161799413,0.6566495283224085,0.15829037869802626,0.5042356516766038,0.6568056006835044,0.6568056006835044
cpa>,0.3695811598889599,1.0,0.00408942859426392,0.7560676284149952,1.0,0.0
cpl>,0.25042302586646437,0.47293774693959667,0.4733939709178527,0.4733939709178527,0.4733939709178527,0.0
cor>,0.3100020928777122,0.7364688734697984,0.2387416997560583,0.6147307996664239,0.7366969854589264,0.0
cpa<,0.32914971912598023,1.0,0.0018452690172722959,0.5848075670410754,1.0,0.0
cpl<,0.24144100494161017,0.22390211775710472,0.2241430749809758,0.2241430749809758,0.2241430749809758,0.0
cor<,0.28529536203379513,0.6119510588785524,0.11299417199912405,0.4044753210110256,0.6120715374904879,0.0
cor_nosign,0.7491710161799413,0.6566495283224085,0.15829037869802626,0.5042356516766038,0.6568056006835044,0.6568056006835044
cor_sign,0.29764872745575366,0.6742099661741754,0.17586793587759114,0.5096030603387247,0.6743842614747071,0.0
Time,4.702081680297852,4.901765187581381,9.869953791300457,10.549065272013348,0.4939142862955729,1.4911937713623047
