,new_0,new_1,new_2,new_3,new_4,new_5
Deletion,0.007456107204779983,0.004522554809227586,0.005826355842873454,0.004522554809227586,0.004522554809227586,0.02432393990457058
Insertion,0.007456107204779983,0.02432393990457058,0.010878440085798502,0.02432384043931961,0.02432393990457058,0.004522554809227586
MuFidelity,-0.0011050502504590424,0.007980918475537528,0.0,0.011488833716665764,0.008156337565969108,-0.011451144568016693
CosSim,0.034824291163477454,0.9999989309022125,0.049249763817087885,0.9997044112985292,1.0,1.0
_CosSim,-0.012099708299125388,0.9999989309022125,0.049249763817087885,0.9997044112985292,1.0,-1.0
SSIM,0.9671092343330383,0.9999998585383096,0.004378624577075243,0.9998932917912802,1.0,0.9701649181048075
Conciseness,0.9950237386621315,0.9950237386621315,0.0,0.0,0.9950237386621315,0.9950237386621315
F1,1.0,1.0,0.009877545629033724,0.009877545629033724,1.0,1.0
MAE,0.0029420840408862186,2.9184047018295014e-06,0.4971457501729943,0.0004978027360964379,0.0,0.00296892125817473
IoU,1.0,1.0,0.004976261337868481,0.004976261337868481,1.0,1.0
PR,1.0,1.0,0.004976261337868481,0.004976261337868481,1.0,1.0
RE,1.0,1.0,1.0,1.0,1.0,1.0
EBPG,1.0,1.0,0.0029786573358190557,0.6948146982987723,1.0,1.0
RRA,1.0,1.0,0.12987059764788567,1.0,1.0,1.0
soft_PR_abs,1.0,1.0,0.0029786573358190557,0.6948146982987723,1.0,1.0
soft_RE_abs,0.49660389826280643,0.31386940610213465,0.3141753708498609,0.3141753708498609,0.3141753708498609,0.3141753708498609
soft_F1_abs,0.6634858467608573,0.47117615863308016,0.005878770249231942,0.4257551656854969,0.47152165117667144,0.47152165117667144
soft_PR_pos,0.5156852761904399,1.0,0.004106053841921191,0.756592370669047,1.0,0.0
soft_RE_pos,0.23935000999525569,0.47370815335192135,0.4741685357963208,0.4741685357963208,0.4741685357963208,0.0
soft_F1_pos,0.3182044405332145,0.6191952176554915,0.008084044266219285,0.5622851015814965,0.6195940095024038,0.0
soft_PR_neg,0.4775918939212958,1.0,0.0018498935193444292,0.5835557738939922,1.0,0.0
soft_RE_neg,0.2540486534141227,0.22351730231740796,0.22373135320920742,0.22373135320920742,0.22373135320920742,0.0
soft_F1_neg,0.3135460417294852,0.35874616070710713,0.0036548303072626047,0.3120266718114983,0.35902287829918755,0.0
_soft_PR_abs,0.31395386199156444,0.5960984643300374,0.0018001308218420792,0.41629321475823716,0.5960984118779501,0.5960984118779501
_soft_RE_abs,0.49578143477439884,0.5955196527640025,0.5960984118779501,0.5960984118779501,0.5960984118779501,0.5960984118779501
_soft_F1_abs,0.3771828903898632,0.5958089127971585,0.0035854971423727017,0.4857638298217747,0.5960984105046834,0.5960984105046834
_soft_PR_pos,0.21188466012477875,0.701525288025538,0.0028285151611392697,0.5303336211045583,0.7015205752849579,0.0
_soft_RE_pos,0.2369443796078364,0.7008438889185588,0.7015205752849579,0.7015205752849579,0.7015205752849579,0.0
_soft_F1_pos,0.22028776267883385,0.7011844175809376,0.005626396663541325,0.6007661018966098,0.7015205719667786,0.0
_soft_PR_neg,0.10019760283331076,0.3958705774943033,0.0007725113113216745,0.2367622488737106,0.3958814764022827,0.0
_soft_RE_neg,0.2595670594771703,0.3954866969585419,0.3958814764022827,0.3958814764022827,0.3958814764022827,0.0
_soft_F1_neg,0.1397300005796728,0.3956785404568512,0.0015407967865277148,0.2906024369477524,0.39588147344159075,0.0
Atten_C,1.0,1.0,0.0029786573358190557,0.6948146982987723,1.0,1.0
Atten_NC,0.0,0.0,0.9970213095347086,0.3051852736870448,0.0,0.0
cpa!=,1.0,1.0,0.00988508452521614,0.8762191153894351,1.0,1.0
cpl!=,0.6208304797666875,0.9994052518130362,1.0,1.0,1.0,1.0
cor!=,0.8104152398833436,0.9997026259065181,0.504942542262608,0.9381095576947175,1.0,1.0
cpa>,0.5008661523918062,1.0,0.010850135257802393,0.8726791562555446,1.0,0.0
cpl>,0.40472122034713454,0.9993315801581165,1.0,1.0,1.0,0.3512457079693271
cor>,0.45279368636947037,0.9996657900790582,0.5054250676289013,0.9363395781277724,1.0,0.17562285398466354
cpa<,0.42410567677720856,1.0,0.00880836339370318,0.8484455881383981,1.0,0.0
cpl<,0.48291333269312614,0.9994476882049284,1.0,1.0,1.0,0.6100580597580904
cor<,0.45350950473516727,0.9997238441024642,0.5044041816968516,0.9242227940691989,1.0,0.3050290298790452
cor_nosign,0.8104152398833436,0.9997026259065181,0.504942542262608,0.9381095576947175,1.0,1.0
cor_sign,0.4531515955523188,0.9996948170907611,0.5049146246628764,0.9302811860984856,1.0,0.24032594193185436
Time,4.595712025960287,5.660724639892577,9.004020690917969,10.06993293762207,0.4923756917317708,1.6381518046061199
