,new_0,new_1,new_2,new_3,new_4,new_5
Deletion,0.23555555939674377,0.12222222983837128,0.16875000298023224,0.12222222983837128,0.12222222983837128,0.9488889575004578
Insertion,0.22037038207054138,0.9488889575004578,0.5735648274421692,0.9488889575004578,0.9488889575004578,0.12222222238779068
MuFidelity,0.0023259947316384135,0.6375468345264551,0.031976380505359905,0.6137571318522111,0.6405514406062318,-0.6291688319629076
CosSim,0.1582013132741634,0.999999115648843,0.06678815992029039,0.9998237067862854,1.0,1.0
_CosSim,-0.0037216714966089707,0.999999115648843,0.06678815992029039,0.9998237067862854,1.0,-1.0
SSIM,0.9398561716079712,0.9999998807907104,0.005820033606141806,0.999896228313446,1.0,0.9440081715583801
Conciseness,0.992366469478737,0.992366469478737,0.0,0.0,0.992366469478737,0.992366469478737
F1,1.0,1.0,0.015088142340571192,0.015088142340571192,1.0,1.0
MAE,0.00477350739827971,4.160886377144723e-06,0.4957596366136733,0.0004962263345737212,0.0,0.0052349358577912335
IoU,1.0,1.0,0.007633530521262003,0.007633530521262003,1.0,1.0
PR,1.0,1.0,0.007633530521262003,0.007633530521262003,1.0,1.0
RE,1.0,1.0,1.0,1.0,1.0,1.0
EBPG,1.0,1.0,0.005255589261651039,0.7815808057785034,1.0,1.0
RRA,1.0,1.0,0.16535530045351474,1.0,1.0,1.0
soft_PR_abs,1.0,1.0,0.005255589261651039,0.7815808057785034,1.0,1.0
soft_RE_abs,0.5234633652131302,0.353636215439797,0.35382457387386534,0.35382457387386534,0.35382457387386534,0.35382457387386534
soft_F1_abs,0.6848975590200772,0.5107915229653631,0.010284088815389194,0.47776874502516814,0.5109780181812688,0.5109780181812688
soft_PR_pos,0.516357958316803,1.0,0.007373299449682236,0.8299283981323242,1.0,0.01
soft_RE_pos,0.2617096637630243,0.5305408998717991,0.5308463471313625,0.5308463471313625,0.5308463471313625,0.0
soft_F1_pos,0.3340564800601894,0.6631774464718074,0.01433346210607806,0.6223919737191821,0.6634030799930171,0.0
soft_PR_neg,0.4786587357521057,1.0,0.0031091561540961266,0.6742764711380005,1.0,0.0
soft_RE_neg,0.26620575244788125,0.24776552550530143,0.24787326769377027,0.24787326769377027,0.24787326769377027,0.01
soft_F1_neg,0.31350184371314477,0.38536119767968763,0.0060995865709439845,0.3419416491117647,0.38549006086577586,0.0
_soft_PR_abs,0.34906262159347534,0.6350272297859192,0.003414905397221446,0.5003751516342163,0.6350288391113281,0.6350288391113281
_soft_RE_abs,0.5177021026611328,0.6347044706344604,0.6350288391113281,0.6350288391113281,0.6350288391113281,0.6350288391113281
_soft_F1_abs,0.4036857485771179,0.6348658204078674,0.006773412227630615,0.5566534399986267,0.6350288391113281,0.6350288391113281
_soft_PR_pos,0.24665454030036926,0.7467150688171387,0.005415116436779499,0.6215126514434814,0.7467018365859985,0.01
_soft_RE_pos,0.26021525263786316,0.7463115453720093,0.7467018365859985,0.7467018365859985,0.7467018365859985,0.0
_soft_F1_pos,0.24192050099372864,0.7465131282806396,0.01069805771112442,0.6763147115707397,0.7467018365859985,0.0
_soft_PR_neg,0.10691189765930176,0.4095739424228668,0.0013940011849626899,0.28291791677474976,0.409580796957016,0.0
_soft_RE_neg,0.2513331472873688,0.4093931317329407,0.409580796957016,0.409580796957016,0.409580796957016,0.01
_soft_F1_neg,0.13940641283988953,0.4094833731651306,0.0027739081997424364,0.32696717977523804,0.409580796957016,0.0
Atten_C,1.0,1.0,0.005255589261651039,0.7815808057785034,1.0,1.0
Atten_NC,0.0,0.0,0.9947444200515747,0.21841922402381897,0.0,0.0
cpa!=,1.0,1.0,0.015105637588186047,0.9130245771085708,1.0,1.0
cpl!=,0.5997505722202684,0.9994689665424172,1.0,1.0,1.0,1.0
cor!=,0.7998752861101343,0.9997344832712087,0.507552818794093,0.9565122885542854,1.0,1.0
cpa>,0.48233718951004495,1.0,0.016477004143832203,0.909826268233013,1.0,0.01
cpl>,0.38861812409902174,0.9994454478141822,1.0,1.0,1.0,0.3195513269390661
cor>,0.4354776568045334,0.9997227239070912,0.5082385020719162,0.9549131341165065,1.0,0.16477566346953307
cpa<,0.4081911895170716,1.0,0.013491495352738136,0.883199486184254,1.0,0.0
cpl<,0.444721543990667,0.999493121206147,1.0,1.0,1.0,0.5913496971198964
cor<,0.4264563667538693,0.9997465606030735,0.506745747676369,0.9415997430921269,1.0,0.2956748485599482
cor_nosign,0.7998752861101343,0.9997344832712087,0.507552818794093,0.9565122885542854,1.0,1.0
cor_sign,0.4309670117792013,0.9997346422550824,0.5074921248741425,0.9482564386043167,1.0,0.2302252560147406
Time,0.07790565490722656,0.056682427724202476,0.0842811663945516,0.08585790793100992,0.005729993184407552,0.016689101854960125
