,new_0,new_1,new_2,new_3,new_4,new_5
Deletion,0.2392592430114746,0.13111111521720886,0.17004629969596863,0.13111111521720886,0.13111111521720886,0.9488889575004578
Insertion,0.2285185158252716,0.9488889575004578,0.5849074125289917,0.9488889575004578,0.9488889575004578,0.13111111521720886
MuFidelity,-0.030663919195566595,0.6289607498820574,0.03808095698067814,0.6175071808890132,0.6269076059698566,-0.608159597298696
CosSim,0.16333490725891278,0.7347339464481724,0.05136074395506236,0.7346220356589128,0.7347443206719013,0.7347443206719013
_CosSim,-0.0101373124002391,0.7347339464481724,0.05136074395506236,0.7346220356589128,0.7347443206719013,-0.7347443206719013
SSIM,0.9375954866409302,0.9480269551277161,0.004259223584085703,0.9479306936264038,0.9480313062667847,0.9243758916854858
Conciseness,0.9922239368998618,0.9922239368998618,0.0,0.0,0.9922239368998618,0.9922239368998618
F1,1.0,1.0,0.015369077573412715,0.015369077573412715,1.0,1.0
MAE,0.007796860786141449,0.005039950462126215,0.5010196534954845,0.005534031571635041,0.00503808727000223,0.010514038930272118
IoU,1.0,1.0,0.0077760631001371735,0.0077760631001371735,1.0,1.0
PR,1.0,1.0,0.007776063100137174,0.007776063100137174,1.0,1.0
RE,1.0,1.0,1.0,1.0,1.0,1.0
EBPG,1.0,1.0,0.005495397839695215,0.7842753529548645,1.0,1.0
RRA,1.0,1.0,0.16445776643990934,1.0,1.0,1.0
soft_PR_abs,1.0,1.0,0.005495397839695215,0.7842753529548645,1.0,1.0
soft_RE_abs,0.5234870747193999,0.35328661589658994,0.3534850929219976,0.3534850929219976,0.3534850929219976,0.3534850929219976
soft_F1_abs,0.6846494968358271,0.510789726653059,0.010741026810663619,0.4787278774410647,0.5109879701232423,0.5109879701232423
soft_PR_pos,0.5138845443725586,1.0,0.007826299406588078,0.8319513201713562,1.0,0.02
soft_RE_pos,0.25742600418597583,0.5295537148172363,0.5298606238470633,0.5298606238470633,0.5298606238470633,0.0
soft_F1_pos,0.32795748901957217,0.6634123798480944,0.015156820957593447,0.6237924312101409,0.6636394612307359,0.0
soft_PR_neg,0.46813973784446716,1.0,0.0031195783521980047,0.671355664730072,1.0,0.0
soft_RE_neg,0.27437069931709107,0.25333820926244294,0.2534531285999313,0.2534531285999313,0.2534531285999313,0.02
soft_F1_neg,0.30892055420559156,0.38927251075004965,0.006117339569213969,0.3367824888444078,0.38941502964515423,0.0
_soft_PR_abs,1.0,1.0,0.005495397839695215,0.7842753529548645,1.0,1.0
_soft_RE_abs,0.5234870910644531,0.35328659415245056,0.3534850776195526,0.3534850776195526,0.3534850776195526,0.3534850776195526
_soft_F1_abs,0.6846494674682617,0.5107897520065308,0.010741028003394604,0.4787278175354004,0.5109878778457642,0.5109878778457642
_soft_PR_pos,0.5138845443725586,1.0,0.007826299406588078,0.8319513201713562,1.0,0.02
_soft_RE_pos,0.25742602348327637,0.5295537710189819,0.5298606157302856,0.5298606157302856,0.5298606157302856,0.0
_soft_F1_pos,0.3279574513435364,0.66341233253479,0.0151568204164505,0.6237923502922058,0.6636393666267395,0.0
_soft_PR_neg,0.46813973784446716,1.0,0.0031195783521980047,0.671355664730072,1.0,0.0
_soft_RE_neg,0.2743706703186035,0.2533382177352905,0.2534531056880951,0.2534531056880951,0.2534531056880951,0.02
_soft_F1_neg,0.30892056226730347,0.389272540807724,0.0061173392459750175,0.3367825150489807,0.3894149661064148,0.0
Atten_C,1.0,1.0,0.005495397839695215,0.7842753529548645,1.0,1.0
Atten_NC,0.0,0.0,0.9945045709609985,0.21572470664978027,0.0,0.0
cpa!=,1.0,1.0,0.005495397906795282,0.784275318723987,1.0,1.0
cpl!=,0.5234870752265124,0.3532866153573774,0.35348509066310324,0.35348509066310324,0.35348509066310324,0.35348509066310324
cor!=,0.7617435376132561,0.6766433076786886,0.17949024428494925,0.568880204693545,0.6767425453315516,0.6767425453315516
cpa>,0.3799650465432095,1.0,0.007826299406938688,0.8319513497926687,1.0,0.02
cpl>,0.2574260025558178,0.529553715253948,0.5298606208257277,0.5298606208257277,0.5298606208257277,0.0
cor>,0.31869552454951366,0.764776857626974,0.26884346011633325,0.6809059853091982,0.7649303104128639,0.01
cpa<,0.33852531764943183,1.0,0.003119578415433231,0.6713557079530902,1.0,0.0
cpl<,0.2743706981428559,0.25333821265423107,0.25345311868805737,0.25345311868805737,0.25345311868805737,0.02
cor<,0.3064480078961438,0.6266691063271155,0.12828634855174528,0.4624044133205737,0.6267265593440288,0.01
cor_nosign,0.7617435376132561,0.6766433076786886,0.17949024428494925,0.568880204693545,0.6767425453315516,0.6767425453315516
cor_sign,0.31257176622282873,0.6957229819770447,0.19856490433403925,0.571655199314886,0.6958284348784463,0.01
Time,0.07411380608876547,0.058569908142089844,0.08876562118530273,0.08749246597290039,0.005907018979390463,0.017719268798828125
