,new_0,new_1,new_2,new_3,new_4,new_5
Deletion,0.2048148214817047,0.11555556207895279,0.1692129671573639,0.11555556207895279,0.11555556207895279,0.9488889575004578
Insertion,0.2455555498600006,0.9488889575004578,0.5777777433395386,0.9488889575004578,0.9488889575004578,0.11555556207895279
MuFidelity,-0.012025235438501937,0.621127883933733,0.09275088146512639,0.6509843683707238,0.6327814419422043,-0.6244805025211091
CosSim,0.17726023756705772,0.9999991107461901,0.13466436511139188,0.9999568843321827,1.0,1.0
_CosSim,0.031892807184178994,0.9999991107461901,0.13466436511139188,0.9999568843321827,1.0,-1.0
SSIM,0.8828352093696594,0.9999998807907104,0.0144569156691432,0.9999017715454102,1.0,0.9101653099060059
Conciseness,0.9694658779149521,0.9694658779149521,0.0,0.0,0.9694658779149521,0.9694658779149521
F1,1.0,1.0,0.05833180687267442,0.05833180687267442,1.0,1.0
MAE,0.01880686500136745,1.6796546017263077e-05,0.48330928553375585,0.0004838303573492953,0.0,0.020978466570671185
IoU,1.0,1.0,0.03053412208504801,0.03053412208504801,1.0,1.0
PR,1.0,1.0,0.03053412208504801,0.03053412208504801,1.0,1.0
RE,1.0,1.0,1.0,1.0,1.0,1.0
EBPG,1.0,1.0,0.021292995661497116,0.9309426546096802,1.0,1.0
RRA,1.0,1.0,0.166828373015873,1.0,1.0,1.0
soft_PR_abs,1.0,1.0,0.021292995661497116,0.9309426546096802,1.0,1.0
soft_RE_abs,0.5230565237208289,0.35548712888603307,0.3556839669062978,0.3556839669062978,0.3556839669062978,0.3556839669062978
soft_F1_abs,0.6846145741423691,0.5125494836732996,0.039131359990344596,0.5039753386855808,0.5127451666730121,0.5127451666730121
soft_PR_pos,0.5448037385940552,1.0,0.029698172584176064,0.9494963884353638,1.0,0.01
soft_RE_pos,0.2628385130518397,0.5326342089372416,0.5329426688715639,0.5329426688715639,0.5329426688715639,0.0
soft_F1_pos,0.3368168355870767,0.6647119696210567,0.05375499229652082,0.6542056057830682,0.664933374240703,0.0
soft_PR_neg,0.4890286922454834,1.0,0.012511389330029488,0.8726881146430969,1.0,0.0
soft_RE_neg,0.2783733328064194,0.24641641347760723,0.2465411746840155,0.2465411746840155,0.2465411746840155,0.01
soft_F1_neg,0.3254136227897845,0.3836291719530346,0.023224064323543563,0.36457817799632386,0.3837860554138691,0.0
_soft_PR_abs,0.35709336400032043,0.6373037099838257,0.013799461536109447,0.5949724912643433,0.6373201608657837,0.6373201608657837
_soft_RE_abs,0.5252074003219604,0.6369679570198059,0.6373201608657837,0.6373201608657837,0.6373201608657837,0.6373201608657837
_soft_F1_abs,0.4124320149421692,0.6371356844902039,0.026718441396951675,0.6150481700897217,0.6373202204704285,0.6373202204704285
_soft_PR_pos,0.2650626301765442,0.7499298453330994,0.021791303530335426,0.7128349542617798,0.7499517202377319,0.01
_soft_RE_pos,0.27568334341049194,0.7495396733283997,0.7499517202377319,0.7499517202377319,0.7499517202377319,0.0
_soft_F1_pos,0.2551887035369873,0.7497346997261047,0.04165080562233925,0.7307122945785522,0.7499517202377319,0.0
_soft_PR_neg,0.11395414173603058,0.40434136986732483,0.0055931624956429005,0.35357466340065,0.40435561537742615,0.0
_soft_RE_neg,0.2862319052219391,0.40412697196006775,0.40435561537742615,0.40435561537742615,0.40435561537742615,0.01
_soft_F1_neg,0.15222932398319244,0.4042340815067291,0.010962975211441517,0.37202197313308716,0.40435561537742615,0.0
Atten_C,1.0,1.0,0.021292995661497116,0.9309426546096802,1.0,1.0
Atten_NC,0.0,0.0,0.978706955909729,0.0690574049949646,0.0,0.0
cpa!=,1.0,1.0,0.05849624402463553,0.9765539564538595,1.0,1.0
cpl!=,0.6091419787938767,0.9994605006414868,1.0,1.0,1.0,1.0
cor!=,0.8045709893969384,0.9997302503207435,0.5292481220123179,0.9882769782269296,1.0,1.0
cpa>,0.5111758679630498,1.0,0.061977900205227754,0.9756882937236606,1.0,0.01
cpl>,0.3958972744545707,0.9994336944584324,1.0,1.0,1.0,0.3186244369389875
cor>,0.4535365712088103,0.9997168472292162,0.5309889501026138,0.9878441468618304,1.0,0.16431221846949376
cpa<,0.43195508441219027,1.0,0.05205630956335847,0.9596976526980457,1.0,0.0
cpl<,0.47663132443681133,0.9994763644116669,1.0,1.0,1.0,0.5916101126543112
cor<,0.45429320442450083,0.9997381822058335,0.5260281547816792,0.9798488263490228,1.0,0.2958050563271556
cor_nosign,0.8045709893969384,0.9997302503207435,0.5292481220123179,0.9882769782269296,1.0,1.0
cor_sign,0.45391488781665557,0.9997275147175249,0.5285085524421466,0.9838464866054266,1.0,0.23005863739832466
Time,0.023082693417867027,0.018287698427836098,0.02444704373677572,0.02336223920186361,0.0017432371775309243,0.005761384963989258
