,new_0,new_1,new_2,new_3,new_4,new_5
Deletion,0.25703704357147217,0.12666667997837067,0.16620370745658875,0.12666667997837067,0.12666667997837067,0.9488889575004578
Insertion,0.22555553913116455,0.9488889575004578,0.5756944417953491,0.9488889575004578,0.9488889575004578,0.12666666507720947
MuFidelity,-0.014512336156640257,0.6264792343337151,0.08029973210408921,0.6285042908680217,0.6230833278239386,-0.6340582719102467
CosSim,0.17284945944716779,0.7347808653670083,0.10217589165350047,0.7347358594870791,0.734766420031668,0.734766420031668
_CosSim,-0.02772735681263556,0.7347808653670083,0.10217589165350047,0.7347358594870791,0.734766420031668,-0.734766420031668
SSIM,0.8787733316421509,0.8745800852775574,0.002111576497554779,0.8744791150093079,0.8745777010917664,0.8417423963546753
Conciseness,0.9693458504801097,0.9693458504801097,0.0,0.0,0.9693458504801097,0.9693458504801097
F1,1.0,1.0,0.05856720584246231,0.05856720584246231,1.0,1.0
MAE,0.031140372389929016,0.019916752974792742,0.5042006193700527,0.020395524327855796,0.01990995796146293,0.041398341078317594
IoU,1.0,1.0,0.030654149519890254,0.030654149519890254,1.0,1.0
PR,1.0,1.0,0.03065414951989026,0.03065414951989026,1.0,1.0
RE,1.0,1.0,1.0,1.0,1.0,1.0
EBPG,1.0,1.0,0.021715223789215088,0.9307807087898254,1.0,1.0
RRA,1.0,1.0,0.1681115362811791,1.0,1.0,1.0
soft_PR_abs,1.0,1.0,0.021715223789215088,0.9307807087898254,1.0,1.0
soft_RE_abs,0.5318258093603616,0.3555017660856923,0.3557005266424885,0.3557005266424885,0.3557005266424885,0.3557005266424885
soft_F1_abs,0.6918507677804149,0.5124752485761215,0.03983775445315787,0.503953418689314,0.5126694727035784,0.5126694727035784
soft_PR_pos,0.49662837386131287,1.0,0.030306046828627586,0.9494355916976929,1.0,0.017499999999999998
soft_RE_pos,0.26056904127932257,0.5330126549131695,0.5333283142472073,0.5333283142472073,0.5333283142472073,0.0
soft_F1_pos,0.32994614880459,0.6648188861816619,0.05453407075913149,0.654371412877539,0.6650449586208588,0.0
soft_PR_neg,0.45796433091163635,1.0,0.01256591361016035,0.8684390783309937,1.0,0.0
soft_RE_neg,0.2600550939850527,0.25310335088107316,0.2532139168052919,0.2532139168052919,0.2532139168052919,0.017499999999999998
soft_F1_neg,0.2990541244141476,0.3898837926929903,0.023302328725559453,0.36345301631812366,0.3900212157659335,0.0
_soft_PR_abs,1.0,1.0,0.021715223789215088,0.9307807087898254,1.0,1.0
_soft_RE_abs,0.531825840473175,0.35550177097320557,0.3557005226612091,0.3557005226612091,0.3557005226612091,0.3557005226612091
_soft_F1_abs,0.6918507814407349,0.5124752521514893,0.039837755262851715,0.5039533972740173,0.5126693844795227,0.5126693844795227
_soft_PR_pos,0.49662837386131287,1.0,0.030306046828627586,0.9494355916976929,1.0,0.017499999999999998
_soft_RE_pos,0.2605690360069275,0.5330126881599426,0.5333283543586731,0.5333283543586731,0.5333283543586731,0.0
_soft_F1_pos,0.3299461603164673,0.6648188829421997,0.05453406646847725,0.6543715000152588,0.6650448441505432,0.0
_soft_PR_neg,0.45796433091163635,1.0,0.01256591361016035,0.8684390783309937,1.0,0.0
_soft_RE_neg,0.2600550651550293,0.2531033456325531,0.25321391224861145,0.25321391224861145,0.25321391224861145,0.017499999999999998
_soft_F1_neg,0.2990541160106659,0.389883816242218,0.02330232784152031,0.3634530007839203,0.3900211751461029,0.0
Atten_C,1.0,1.0,0.021715223789215088,0.9307807087898254,1.0,1.0
Atten_NC,0.0,0.0,0.9782848358154297,0.06921931356191635,0.0,0.0
cpa!=,1.0,1.0,0.021715222662466414,0.9307806833990355,1.0,1.0
cpl!=,0.5318258095197127,0.35550176869092887,0.3557005219294641,0.3557005219294641,0.3557005219294641,0.3557005219294641
cor!=,0.7659129047598563,0.6777508843454644,0.18870787229596525,0.6432406026642499,0.6778502609647321,0.6778502609647321
cpa>,0.3703367396703043,1.0,0.03030604670492129,0.9494356415209004,1.0,0.017499999999999998
cpl>,0.26056904342461656,0.5330126561291171,0.5333283093696676,0.5333283093696676,0.5333283093696676,0.0
cor>,0.3154528915474605,0.7665063280645585,0.28181717803729445,0.741381975445284,0.766664154684834,0.008749999999999999
cpa<,0.33415616791524416,1.0,0.01256591485380971,0.8684391234370826,1.0,0.0
cpl<,0.26005509273944394,0.25310335314392096,0.25321390394417065,0.25321390394417065,0.25321390394417065,0.017499999999999998
cor<,0.297105630327344,0.6265516765719605,0.1328899093989902,0.5608265136906266,0.6266069519720854,0.008749999999999999
cor_nosign,0.7659129047598563,0.6777508843454644,0.18870787229596525,0.6432406026642499,0.6778502609647321,0.6778502609647321
cor_sign,0.3062792609374022,0.6965290023182595,0.20735354371814232,0.6511042445679553,0.6966355533284595,0.008749999999999999
Time,0.025404691696166992,0.018468697865804035,0.02405206362406413,0.02416590849558512,0.0017615159352620444,0.005285739898681641
