,GradCAM,GradCAMPP,Saliency,DeconvNet,GradientInput,GuidedBackprop,IntegratedGradients,SmoothGrad,SquareGrad,VarGrad,KernelShap,Occlusion,Rise
Deletion,0.2977767884731293,0.3121727705001831,0.32500535249710083,0.37064671516418457,0.20087659358978271,0.44178760051727295,0.1926288604736328,0.35053831338882446,0.330654501914978,0.35175812244415283,0.3595511019229889,0.16660694777965546,0.17778000235557556
Insertion,0.5497572422027588,0.49656105041503906,0.42535632848739624,0.3850589394569397,0.3871367275714874,0.42235755920410156,0.43553996086120605,0.3355273902416229,0.42544636130332947,0.386049747467041,0.427668035030365,0.33723732829093933,0.626211941242218
CosSim,0.34930678662447784,0.3824814824705568,0.3403662951089394,0.03205890613746303,0.0046615925004625655,0.029821680269580417,0.011371620592809549,0.00274745386442192,0.15635410369530098,0.1531667874472319,0.022284898819808333,0.11606253611234571,0.35689718887424765
_CosSim,0.34930678662447784,0.3824814824705568,0.3403662951089394,-0.03196879895260443,0.00016050812963322474,-0.014844621479717109,0.007953357525408763,0.0006893840797316133,0.15635410369530098,0.1531667874472319,0.020788685095219802,0.08357469857937931,0.35689718887424765
SSIM,0.3515397074326542,0.5393493738510936,0.20583582744814102,0.18501369655132294,0.6024944186210632,0.6681317090988159,0.598097026348114,0.49206724762916565,0.7504100203514099,0.7050281763076782,0.29612776244822936,0.335126951865061,0.13601364568974642
Conciseness,0.24926028495637392,0.49992576854111215,0.0,0.0,0.0,2.4840099083111513e-05,0.0,0.0,0.0,0.0,0.0,0.1294821936926945,0.0
F1,0.2548606908013046,0.29349200313263685,0.24974217095826806,0.24974217095826806,0.24974217095826806,0.24974366744305615,0.24974217095826806,0.24974217095826806,0.24974217095826806,0.24974217095826806,0.24974217095826806,0.24873766617489246,0.24974217095826806
MAE,0.275064641843125,0.21893322087095726,0.19579145387434163,0.23707967198203075,0.1831713371262948,0.17864896933094787,0.18300011178137499,0.1924378121030946,0.16675143752579782,0.16905629531636043,0.24207402193437055,0.21420163492135338,0.7451507866457867
IoU,0.16568825506387366,0.19524636974457155,0.16500440189662816,0.16500440189662816,0.16500440189662816,0.16500495841304053,0.16500440189662816,0.16500440189662816,0.16500440189662816,0.16500440189662816,0.16500440189662816,0.16585592544325886,0.16500440189662816
PR,0.17848946063161908,0.22618429700809875,0.1650044018966282,0.1650044018966282,0.1650044018966282,0.16500569089481815,0.1650044018966282,0.1650044018966282,0.1650044018966282,0.1650044018966282,0.1650044018966282,0.20696305022649608,0.1650044018966282
