,GradCAM,GradCAMPP,Saliency,DeconvNet,GradientInput,GuidedBackprop,IntegratedGradients,SmoothGrad,SquareGrad,VarGrad,KernelShap,Lime,Occlusion,Rise
Deletion,0.007456107204779983,0.007456107204779983,0.007456107204779983,0.007456107204779983,0.007456107204779983,0.007456107204779983,0.01003652480430901,0.007456107204779983,0.007456107204779983,0.007456107204779983,0.007456107204779983,0.007456107204779983,0.007456107204779983,0.007456107204779983
Insertion,0.008759904489852487,0.008759904489852487,0.008162327716127038,0.01462694425135851,0.008162327716127038,0.01047112224623561,0.01066126418299973,0.011910728225484491,0.016799909062683582,0.016664074920117854,0.00780921783298254,0.008162327716127038,0.01699012191966176,0.008162327716127038
CosSim,0.03180234669520827,0.03180234657578196,0.0,0.128357069096017,0.0,0.26571709642597,0.39928599047032076,0.25842784189365997,0.1309332650632901,0.11991513236524669,0.01816469621085682,0.0007192100891797576,0.23839405810545636,0.007084920185350507
_CosSim,0.03180234669520827,0.03180234657578196,0.0,0.11389853835683242,0.0,0.24779770746868265,0.01897373272493334,0.2052486502755857,0.09708992049821044,0.08706948630378694,0.01816469621085682,-0.0007192100891797576,0.23839405810545636,0.007084920185350507
SSIM,0.16914380099484425,0.16914380088905795,0.922522980594698,0.8553190986315411,0.9722848955790202,0.9729953471819559,0.97139595190684,0.9605484429995219,0.9658163126309713,0.9633640440305073,0.08219997954486499,0.8564766430969574,0.8467325375002852,0.8546204407374743
Conciseness,0.13829719387755102,0.13829719387755102,0.9999800701530612,0.949688385770975,0.9999800701530612,0.997836150085034,0.9974019451530612,0.9241128117913833,0.9240663973922905,0.9235125248015873,0.039999202806122444,0.9199816645408163,0.5989317602040816,0.9199816645408163
F1,0.028259483620479316,0.028259483620479316,0.0,0.07425060352356086,0.0,0.2820612759088715,0.2547272573234095,0.08834585887430146,0.08779364957952941,0.08968476447730198,0.025077477565986862,0.005791562575083921,0.22701089957388304,0.005791562575083921
MAE,0.3714094151436139,0.3714094176409132,0.0044578528162823846,0.01087412147376712,0.0014859509387740812,0.0015641521319891467,0.0015679961644485343,0.0026208056678892525,0.0019229611781791552,0.0020663333161978436,0.1961671439704385,0.027624528069236775,0.08951680048744845,0.08361919156828813
IoU,0.01449344543866074,0.01449344543866074,0.0,0.03904067744500937,0.0,0.19441185582260873,0.1548535249248224,0.046764330791988336,0.04643935327971251,0.04755580384419722,0.012752444727891157,0.003029336734693878,0.13838854088568758,0.003029336734693878
PR,0.014523486929100327,0.014523486929100327,0.0,0.041829408563053165,0.0,0.41110309599229355,0.3253904719332209,0.04845177631333985,0.04809183658361875,0.04925670374200279,0.012752444727891157,0.003029336734693878,0.21665560353310945,0.003029336734693878
RE,0.8793333333333333,0.8793333333333333,0.0,0.49779248214987915,0.0,0.27420597754080556,0.24762932183208766,0.7424893903889445,0.7457703030976457,0.7494425909601591,0.96,0.08,0.6264184341734846,0.08
EBPG,0.01849034231156111,0.018490342032164337,0.0,0.05720216521061957,0.0,0.46402043476700783,0.5240552782018979,0.2690489603703221,0.2624724964859585,0.21937900235876437,0.013268406422187884,0.003095659613609314,0.37574936735133335,0.0030293365567922595
RRA,0.13469880389694916,0.13469880389694916,1.0,0.07141199061104775,1.0,0.920429660601368,0.7877289058496026,0.3341791980906939,0.292861145849164,0.25272074743910516,0.05677232781516132,0.9243714285714285,0.6435309166974283,0.9236857142857143
soft_PR_abs,0.01849034231156111,0.018490342032164337,0.0,0.05720216521061957,0.0,0.46402043476700783,0.5240552782018979,0.2690489603703221,0.2624724964859585,0.21937900235876437,0.013268406422187884,0.003095659613609314,0.37574936735133335,0.0030293365567922595
soft_RE_abs,0.4794432811406451,0.47944327841471407,0.0,0.1378892833383269,0.0,0.08932991258453055,0.04860776117716822,0.10279295427537971,0.04205283625269092,0.04269565311995383,0.20380579835622675,0.02464487077985491,0.4392591730436738,0.07999984514508929
