,GradCAM,GradCAMPP,Saliency,DeconvNet,GradientInput,GuidedBackprop,IntegratedGradients,SmoothGrad,SquareGrad,VarGrad,KernelShap,Lime,Occlusion,Rise
Deletion,504.27268346150714,128.4618345896403,93.094269434611,98.2664712270101,92.5454330444336,90.00776926676431,85.85238456726074,86.31531397501628,85.82503954569498,86.59815788269044,84.33147112528482,83.9793078104655,85.13933817545572,83.58905792236328
Insertion,87.81967163085936,93.56352806091309,83.1125545501709,87.2779115041097,84.04679934183756,85.05512873331705,85.60281753540039,87.73720423380534,87.90267626444498,88.09051831563315,85.40891329447427,84.00149981180826,83.80028088887533,83.66626103719076
CosSim,0.4584248860677083,0.32812436421712243,0.4352378845214844,0.6459999084472656,0.67779541015625,0.7159678141276042,0.6626001993815104,0.6149101257324219,0.5317656199137369,0.5491987864176433,0.401150385538737,0.5386257171630859,0.46601295471191406,0.37199974060058594
_CosSim,0.2911949157714844,0.23708661397298178,0.39973258972167963,0.7984034220377605,0.7957077026367188,0.9029261271158854,0.8980623881022135,0.8301575978597006,0.6926759084065756,0.8036231994628906,0.3291734059651693,0.30687014261881507,0.32733917236328125,0.35890261332194007
SSIM,4.768406550089518,4.741814931233724,3.862727483113607,12.986567815144857,13.146473566691082,12.986358006795248,13.05337905883789,14.157886505126953,15.010693868001303,14.50469970703125,4.701992670694987,4.196217854817708,6.3671716054280605,4.3554623921712246
Conciseness,0.0,0.03996849060058594,0.0,0.03993034362792969,0.13359387715657553,0.17325083414713544,0.14647483825683594,0.17336527506510416,0.10625839233398438,0.14659881591796875,0.0,0.03998756408691406,0.10645230611165366,0.1734288533528646
F1,12.174285252888996,12.280782063802084,12.147467931111652,38.307310740153,38.707033793131515,37.88088480631511,37.22835540771484,39.71912384033204,38.466997146606445,39.50625101725261,11.934410730997723,12.573932011922201,13.212941487630209,12.29421297709147
MAE,0.6255753835042318,0.46599388122558594,0.5325730641682942,1.5448951721191406,1.7048803965250652,1.8113485972086587,1.6112804412841797,1.6380373636881511,1.6777992248535156,1.6378243764241538,0.4928080240885417,0.5058987935384114,0.6525929768880208,0.599231719970703
IoU,12.613846460978191,12.200727462768555,12.413800557454426,38.32057317097981,37.38675753275554,37.68070856730144,37.01484044392903,38.09419631958008,37.62763659159342,38.95993232727051,11.774511337280273,12.547229131062826,13.78574053446452,12.453927993774412
PR,14.171571731567383,12.546602884928385,12.346760431925457,37.36146291097005,36.48214975992838,37.29487737019856,36.38884544372559,38.02725791931152,38.02801450093587,37.89422671000163,11.734469731648762,12.49325116475423,13.013525009155273,12.666505177815754
RE,12.759911219278973,12.613162994384766,12.54693349202474,37.61456489562989,38.081000645955406,38.22641372680664,36.508887608846024,37.57453282674154,38.04067611694335,39.17304039001465,11.800368626912434,12.732763290405275,12.853097915649414,12.826814651489258
