,GradCAM,GradCAMPP,Saliency,DeconvNet,GradientInput,GuidedBackprop,IntegratedGradients,SmoothGrad,SquareGrad,VarGrad,Occlusion,Rise,KernelShap,Lime
Deletion,0.17365741729736328,0.17347222566604614,0.16282407939434052,0.13111111521720886,0.16282407939434052,0.13111111521720886,0.13111111521720886,0.13027778267860413,0.13111111521720886,0.13111111521720886,0.16282407939434052,0.13111111521720886,0.17277778685092926,0.16638889908790588
Insertion,0.836018443107605,0.8358796238899231,0.8873147964477539,0.9488889575004578,0.8877778053283691,0.9488889575004578,0.9234259724617004,0.9214814901351929,0.9245834350585938,0.9297685623168945,0.8850000500679016,0.9358795881271362,0.8710185289382935,0.8589351773262024
MuFidelity,-0.031708364137884734,-0.022032270568708278,0.020929584530226114,0.5333837213292184,0.6870781772594068,0.6012069186034789,0.7590722203365209,0.597760342250835,0.661494467377708,0.6435104201647599,0.009707565936694338,-0.01749240672871706,-0.0027651189733788667,0.01348462309003926
CosSim,0.06882186268398807,0.06882186247087317,0.3949251211329801,0.6076495759073351,0.8030972858391067,0.7054685915843149,0.88003581858062,0.7901086222003897,0.565424779266962,0.5393229220220649,0.22984359481983127,0.06536007806595495,0.20167088648015188,0.18866901150479543
_CosSim,0.06757781736502443,0.06757781715190952,0.39368107581401646,0.6069313260075474,0.8023790359393189,0.7047503416845271,0.8793175686808323,0.7899446657408526,0.561041394713089,0.5369678864158806,0.22859954950086764,0.06536007806595495,0.20042684116118825,0.18742496618583182
SSIM,0.4080013787604229,0.40800137925728813,0.8634363294588662,0.9610973596572876,0.9774265289306641,0.9689078330993652,0.9821642637252808,0.9737518429756165,0.9586108922958374,0.956045925617218,0.8333827407784365,0.002706330311224754,0.41133261588978715,0.3344753888501913
Conciseness,0.5444405864197528,0.5444405864197528,0.9876761831275725,0.9930658436213988,0.9977370541838138,0.994609910836763,0.9972976680384094,0.9872295096021952,0.9873553240740746,0.9867603309327849,0.963804012345679,0.0,0.07993827160493826,0.0841017232510288
F1,0.061920982056549265,0.061920982056549265,0.47223453250910186,0.5232828729402108,0.48700087240047873,0.5517565123959931,0.5545844501130887,0.47418335419103297,0.4708998718251297,0.47174589205427175,0.22646168481907697,0.044210095932692865,0.036570395250467264,0.0362668016940856
MAE,0.2084274747455343,0.2084274733434865,0.01057727842033356,0.00436602295986528,0.0014038458932773392,0.0031699281386899925,0.0011245803836656882,0.0025356891319327605,0.003187392269749028,0.0037194490686342473,0.029959351465601053,0.6036189938973087,0.17126362624156016,0.19904801334613492
IoU,0.032510414189525175,0.032510414189525175,0.33625699477051907,0.3732825923224332,0.3530119644348969,0.4026929007433018,0.4082897422126748,0.3204386160704452,0.3182605947994338,0.3182046599891385,0.1314132062173139,0.02287808641975308,0.0187581569664903,0.018600620958259848
PR,0.07255260317021064,0.07255260317021064,0.6061815476190476,0.511904761904762,0.858611111111111,0.6252412131519274,0.9308333333333334,0.3623140291197232,0.36312633619354046,0.3536296349505007,0.20856482894677336,0.022878086419753085,0.050686728395061734,0.050529192386831276
RE,0.8271190476190476,0.8271190476190476,0.425484126984127,0.5578007369614513,0.35305498866213153,0.519390022675737,0.408312925170068,0.7833613236961451,0.7692227891156462,0.7928062641723356,0.379983843537415,1.0,0.9205714285714286,0.9164047619047618
EBPG,0.09356020390987396,0.09356020390987396,0.6406546831130981,0.5382737517356873,0.8586112260818481,0.6597143411636353,0.9308334589004517,0.6274879574775696,0.672876238822937,0.6123937964439392,0.21519649028778076,0.031101102009415627,0.12073726952075958,0.09110883623361588
RRA,0.393671626984127,0.3943859126984127,0.8499136904761905,0.6372293083900227,1.0,0.7832293083900226,1.0,0.6630469104308391,0.6660925453514739,0.638842545351474,0.4679875283446712,0.23803642290249435,0.4155286281179139,0.4184706632653062
soft_PR_abs,0.09356020390987396,0.09356020390987396,0.6406546831130981,0.5382737517356873,0.8586112260818481,0.6597143411636353,0.9308334589004517,0.6274879574775696,0.672876238822937,0.6123937964439392,0.21519649028778076,0.031101102009415627,0.12073726952075958,0.09110883623361588
soft_RE_abs,0.6124026166620208,0.6124026114735784,0.3310124007945198,0.4475730583905941,0.213139455783182,0.4252159155334513,0.2475232093399382,0.33091535859718896,0.28989981883782895,0.3364045892836424,0.3107550311800074,0.8484043528338949,0.39905226937682825,0.40351781967798983
soft_F1_abs,0.09441972708289888,0.09441972720999758,0.4055174955141928,0.46144912071089417,0.33015773426749634,0.48565850981257785,0.37839847508365526,0.412065093588479,0.3707132318891801,0.39154236073352106,0.21615132220109032,0.05932272927843356,0.10599279974804662,0.08665265897310703
soft_PR_pos,0.05434780195355415,0.05434780195355415,0.4186905324459076,0.5647655725479126,0.8552778363227844,0.6974999904632568,0.9275000691413879,0.6735459566116333,0.48213496804237366,0.42451971769332886,0.14486530423164368,0.016279125586152077,0.09519834071397781,0.07743791490793228
soft_RE_pos,0.6180910472483672,0.6180910422237588,0.49833237942716674,0.6581632516792195,0.41527698285614534,0.6390069826010756,0.4821342810706811,0.48774828039155427,0.4505216948911378,0.49766096820438505,0.4682846840669714,0.8589938831430525,0.4206182988149716,0.41942607152139083
soft_F1_pos,0.04472529687490088,0.04472529682302372,0.39569330801498726,0.5740402573062734,0.5203693025528181,0.6148531321626415,0.5933932469719745,0.5260685610947633,0.4058511190928398,0.3966022256772431,0.1730772807181757,0.03153892944341727,0.0916680398954792,0.07690534848922202
soft_PR_neg,1.0,1.0,1.0,0.4594791531562805,1.0,0.5863045454025269,1.0,0.5124424695968628,1.0,1.0,1.0,1.0,0.08792954683303833,0.09160897880792618
soft_RE_neg,0.01,0.01,0.01,0.2574518849206349,0.07990674603174602,0.2574518849206349,0.08993534076403059,0.20638049554564653,0.01,0.01,0.01,0.01,0.017656897726214694,0.025717251264554403
soft_F1_neg,0.01,0.01,0.01,0.29317576619580576,0.13815717610008835,0.32935152372218884,0.15600629073452926,0.2742672894638508,0.01,0.01,0.01,0.01,0.015635926246933503,0.01722905427469229
_soft_PR_abs,0.02789747156202793,0.02789747156202793,0.38111138343811035,0.30185478925704956,0.6810948252677917,0.3934260904788971,0.739928126335144,0.3867339491844177,0.4657970368862152,0.4029293954372406,0.105973020195961,0.011400522664189339,0.07343759387731552,0.04591958969831467
_soft_RE_abs,0.6363707780838013,0.6363707780838013,0.5772621035575867,0.6998745203018188,0.4804312288761139,0.684695839881897,0.5360350608825684,0.5575795769691467,0.5168498754501343,0.564685583114624,0.4913441240787506,0.8883292078971863,0.5199453830718994,0.5242143869400024
_soft_F1_abs,0.03620528429746628,0.03620528429746628,0.4476531147956848,0.4146931767463684,0.5576757192611694,0.4917926788330078,0.6172475814819336,0.4515528678894043,0.4740320146083832,0.4526245594024658,0.1599682867527008,0.022400688380002975,0.10324709117412567,0.06951586902141571
_soft_PR_pos,0.020881885662674904,0.020881885662674904,0.30227580666542053,0.38935285806655884,0.7266825437545776,0.5095356702804565,0.7870640754699707,0.509304404258728,0.39245572686195374,0.33691123127937317,0.09404828399419785,0.008186036720871925,0.0737481564283371,0.055885009467601776
_soft_RE_pos,0.6593524217605591,0.6593524217605591,0.6691263318061829,0.8002769351005554,0.6270777583122253,0.7892651557922363,0.6991957426071167,0.6458553671836853,0.6225510835647583,0.670979380607605,0.6427657008171082,0.9149791598320007,0.6578714847564697,0.6478573083877563
_soft_F1_pos,0.02584543451666832,0.025845438241958618,0.40377846360206604,0.5171065330505371,0.6643943190574646,0.6106467247009277,0.7330624461174011,0.5625928044319153,0.4640241265296936,0.43122586607933044,0.1509505808353424,0.01616174541413784,0.11266884952783585,0.08842934668064117
_soft_PR_neg,1.0,1.0,1.0,0.22964408993721008,0.6027499437332153,0.2800132930278778,0.5799999237060547,0.23984582722187042,1.0,1.0,1.0,1.0,0.0841718390583992,0.08769361674785614
_soft_RE_neg,0.01,0.01,0.01,0.45252132415771484,0.17646443843841553,0.45252132415771484,0.20014092326164246,0.3592751622200012,0.01,0.01,0.01,0.01,0.025220636278390884,0.03638264164328575
_soft_F1_neg,0.01,0.01,0.01,0.2294381856918335,0.2510486841201782,0.28191104531288147,0.2844036817550659,0.2508932948112488,0.01,0.01,0.01,0.01,0.015256973914802074,0.01524217426776886
Atten_C,0.09356020390987396,0.09356020390987396,0.6406546831130981,0.5382737517356873,0.8586112260818481,0.6597143411636353,0.9308334589004517,0.6274879574775696,0.672876238822937,0.6123937964439392,0.21519649028778076,0.031101102009415627,0.12073726952075958,0.09110883623361588
Atten_NC,0.9064399003982544,0.9064399003982544,0.3593452274799347,0.46172618865966797,0.1413888931274414,0.3402855098247528,0.06916667520999908,0.37251198291778564,0.3271236717700958,0.3876061737537384,0.784803569316864,0.9688990712165833,0.8792625665664673,0.9088912010192871
cpa!=,0.0799548275820967,0.07995482824297895,0.6404847430272272,0.5439095535647215,0.8858333332238294,0.665729000969804,0.9524999999190674,0.774061159627075,0.8181231002185797,0.761776424857591,0.18517778424166492,0.017750436860525506,0.24357917924684352,0.1840652193191993
cpl!=,0.536241832894195,0.5362418351293018,0.779792060479488,0.7752627956619881,0.8432787768410648,0.7865374974644915,0.8758768143502829,0.8633098352857257,0.8642463057093035,0.8596722386465526,0.71072539831208,0.4911920477341091,0.664039677177934,0.67861850679458
cor!=,0.30809833023814587,0.30809833168614026,0.7101384017533576,0.6595861746133547,0.8645560550324471,0.7261332492171478,0.9141884071346752,0.8186854974564002,0.8411847029639414,0.8107243317520719,0.4479515912768724,0.25447124229731727,0.4538094282123888,0.4313418630568896
cpa>,0.051588851958778034,0.05158885209727988,0.38674927674429793,0.5570882043850263,0.8758333332472222,0.6946736530758734,0.9424999999424604,0.7056900197931456,0.5109052590598094,0.47271665026665327,0.14528187904164702,0.011015085686869354,0.14361310313346226,0.11711048798810567
cpl>,0.6118574134537227,0.6118574136983302,0.7680588464256621,0.7783452284923943,0.8511142460641649,0.8011221128463994,0.9138048753223649,0.8073950353660708,0.8305973896166575,0.8455590513775478,0.7759835266367486,0.6433734002579492,0.8166838993878868,0.8060404685206018
cor>,0.3317231327062503,0.3317231328978051,0.57740406158498,0.6677167164387103,0.8634737896556937,0.7478978829611362,0.9281524376324126,0.756542527579608,0.6707513243382335,0.6591378508221006,0.46063270283919777,0.3271942429724093,0.48014850126067454,0.46157547825435374
cpa<,1.0,1.0,1.0,0.46511824669438073,1.0,0.5875979430159237,1.0,0.73092375791331,1.0,1.0,1.0,1.0,0.27153654822871637,0.19258511619412158
