,GradCAM,GradCAMPP,Saliency,DeconvNet,GradientInput,GuidedBackprop,IntegratedGradients,SmoothGrad,SquareGrad,VarGrad,Occlusion,Rise,KernelShap,Lime
Deletion,4.985658327738444,2.640758752822876,2.605878710746765,2.614705363909404,2.656288743019104,2.6074161132176714,2.6468672355016074,2.639161149660746,2.604205012321472,2.6090212663014727,2.612822651863098,2.576923370361328,2.917506694793701,2.5994108120600385
Insertion,2.5548672676086426,2.571169336636861,2.597018281618754,2.6157915592193604,2.5707491238911944,2.589818239212036,2.6503912607828775,2.5930990775426226,2.6016253232955933,2.606141169865926,2.5400328636169434,2.5866891940434775,2.5418047110239668,2.567950884501139
MuFidelity,27.27992296218872,24.14043625195821,24.36912695566813,24.237630168596905,24.220279852549233,24.318575660387676,24.315770665804543,24.242000579833984,24.293718139330544,24.27844305833181,24.34261997540792,24.31706666946411,24.15621856848399,24.703604777654014
CosSim,0.014017621676127115,0.013041496276855469,0.01342316468556722,0.017645160357157387,0.01786172389984131,0.017826755841573082,0.01745800177256266,0.017445683479309082,0.017759005228678383,0.018403132756551106,0.013860265413920084,0.012827515602111816,0.013469258944193522,0.015213688214619955
_CosSim,0.009671648343404133,0.009556015332539875,0.009732643763224285,0.014858245849609375,0.014861424763997396,0.015154878298441568,0.014766256014506022,0.014318029085795084,0.014364918073018393,0.01464982827504476,0.009793639183044434,0.010021527608235676,0.009659330050150555,0.009881258010864258
SSIM,0.22390127182006836,0.2273350954055786,0.22519091765085855,0.7448261976242065,0.7225179672241211,0.7352713743845622,0.7219372193018596,0.7268265883127849,0.7311022281646729,0.7172060012817383,0.22325515747070312,0.22562642892201742,0.22406438986460367,0.22775808970133463
Conciseness,0.009863773981730144,0.0096815824508667,0.009813507397969563,0.010307033856709797,0.010411938031514485,0.010215441385904949,0.010118683179219563,0.010126829147338867,0.010081926981608072,0.010127425193786621,0.009869535764058432,0.00993490219116211,0.010166565577189129,0.009880860646565756
F1,1.7854112386703491,1.7890441417694092,1.7569923400878906,1.963631510734558,1.9529656569163005,1.9746710856755574,1.9769553343454997,1.9805375734965007,1.9466584920883179,1.9903463125228882,1.7946116129557292,1.7986645301183064,1.7639066775639851,1.811558206876119
MAE,0.34832656383514404,0.35528222719828284,0.3429307540257772,0.372548500696818,0.3590287764867147,0.36244451999664307,0.3596667448679606,0.3680741786956787,0.358273983001709,0.3623406092325846,0.35442471504211426,0.3619112571080526,0.3433793783187866,0.34539759159088135
IoU,1.5813167889912922,1.5978745619455974,1.57603919506073,1.786474585533142,1.7770067850748699,1.7866543928782146,1.769544283548991,1.7910641431808472,1.7806812127431233,1.779880126317342,1.6103843847910564,1.5920734405517578,1.5705335140228271,1.5856979290644326
PR,1.771329442660014,1.786777377128601,1.7653753360112507,1.9480693340301514,1.9598160187403362,1.9570231437683105,1.9529722134272258,1.946045955022176,1.9424843788146973,1.9487649202346802,1.7969236771265666,1.7760805288950603,1.7644683519999187,1.7865145206451416
RE,1.7694344123204548,1.7827979723612468,1.7794628938039143,1.9214632113774617,1.9503285487492878,1.9620980819066365,1.9408758481343586,1.9385234514872234,1.9414267937342327,1.94717804590861,1.7852050065994263,1.7639484008153279,1.7513614892959595,1.7793490489323933
EBPG,0.03530263900756836,0.03849248091379801,0.03616034984588623,0.04102965195973714,0.04160583019256592,0.04132469495137532,0.041610002517700195,0.040894150733947754,0.04088799158732097,0.04014909267425537,0.03570457299550374,0.03505110740661621,0.035076141357421875,0.03512680530548096
RRA,0.04250228404998779,0.04702190558115642,0.04439214865366618,0.08902907371520996,0.0926878054936727,0.09360929330190022,0.08968015511830649,0.09249985218048096,0.09045163790384929,0.09106973807017009,0.04317124684651692,0.03301461537679036,0.035496552785237626,0.03675003846486409
soft_PR_abs,0.03425677617390951,0.03595530986785889,0.03552039464314779,0.04408637682596842,0.043520331382751465,0.04283388455708821,0.043269197146097824,0.040621558825174965,0.049487153689066574,0.04205127557118733,0.034713943799336754,0.03460566202799479,0.0347369909286499,0.03613988558451335
soft_RE_abs,0.04045844078063965,0.042875607808430985,0.042541821797688804,0.053244829177856445,0.05472123622894287,0.056344469388326004,0.05100727081298828,0.06571034590403238,0.049540201822916664,0.05407214164733887,0.04183987776438395,0.0434197982152303,0.042405128479003906,0.04231830437978108
soft_F1_abs,0.05081772804260254,0.0495988130569458,0.049508412679036454,0.05815724531809489,0.06145358085632324,0.05994717280069987,0.05769928296407064,0.0639172395070394,0.06023367245992025,0.06212055683135986,0.048778653144836426,0.04859705766042073,0.048241615295410156,0.04977067311604818
soft_PR_pos,0.03537952899932861,0.03503163655598958,0.034708380699157715,0.04190623760223389,0.039989352226257324,0.03960311412811279,0.03916045029958089,0.03954589366912842,0.04011889298756917,0.039274493853251144,0.033433636029561356,0.03293057282765706,0.033400257428487144,0.03562510013580322
soft_RE_pos,0.04197915395100911,0.04126330216725667,0.04176616668701172,0.04895925521850586,0.04823545614878337,0.04848976929982503,0.04804929097493489,0.04904488722483317,0.0486991802851359,0.057996908823649086,0.04036287466684978,0.04149913787841797,0.041298071543375656,0.04394332567850749
soft_F1_pos,0.05035281181335449,0.04701375961303711,0.04934847354888916,0.05932807922363281,0.05786379178365072,0.06084263324737549,0.05813260873158773,0.06352603435516357,0.06018996238708496,0.0696563720703125,0.047901272773742676,0.04789292812347412,0.04934867223103841,0.047726233800252274
soft_PR_neg,0.03626485665639241,0.032759904861450195,0.034172137578328446,0.04285275936126709,0.041301051775614425,0.0399102767308553,0.03995398680369059,0.040570298830668136,0.038859446843465165,0.03860950469970703,0.032804012298583984,0.03340343634287517,0.03390669822692871,0.03326157728830973
soft_RE_neg,0.03926177819569905,0.03705700238545735,0.03870546817779541,0.04970550537109375,0.049005746841430664,0.0483540693918864,0.04855255285898845,0.04827042420705159,0.04488011201222737,0.043852527936299644,0.03675679365793864,0.037673115730285645,0.040647784868876144,0.04059731960296631
soft_F1_neg,0.04473944505055745,0.04249314467112224,0.045640667279561356,0.059500932693481445,0.05607446034749349,0.05731900533040365,0.05617856979370117,0.05654752254486084,0.05043248335520426,0.05015134811401367,0.04201134045918782,0.04373530546824138,0.04679183165232341,0.04638334115346272
_soft_PR_abs,0.010267297426859539,0.009925166765848795,0.010425448417663574,0.013580719629923502,0.013526678085327148,0.013802846272786459,0.013510982195536295,0.013474822044372559,0.01316070556640625,0.013104677200317383,0.010127623875935873,0.013582309087117514,0.00971694787343343,0.009783506393432617
_soft_RE_abs,0.009800195693969727,0.009177724520365397,0.00981152057647705,0.013540387153625488,0.013691981633504232,0.013592044512430826,0.013535022735595703,0.013444026311238607,0.012969772020975748,0.013016661008199057,0.009276866912841797,0.010526180267333984,0.009473164876302082,0.009415547053019207
_soft_F1_abs,0.014329950014750162,0.013517340024312338,0.014526446660359701,0.019062161445617676,0.018772681554158527,0.018966197967529297,0.018818577130635582,0.01910130182902018,0.01839796702067057,0.018152793248494465,0.013722578684488932,0.015463431676228842,0.013410449028015137,0.013619462649027506
_soft_PR_pos,0.010232329368591309,0.009631315867106121,0.010112722714742025,0.013875563939412435,0.013736287752787272,0.014102856318155924,0.013836423556009928,0.014139811197916666,0.01352071762084961,0.013346672058105469,0.009680390357971191,0.011121034622192383,0.009860595067342123,0.009760657946268717
_soft_RE_pos,0.01013020674387614,0.009679396947224934,0.010131200154622395,0.013613303502400717,0.01384576161702474,0.014108419418334961,0.013721982638041178,0.01372377077738444,0.01354078451792399,0.013259649276733398,0.010066429773966473,0.011249581972757976,0.010538697242736816,0.009810129801432293
_soft_F1_pos,0.015581846237182617,0.0150299072265625,0.01512447992960612,0.019558072090148926,0.01975377400716146,0.01993676026662191,0.01958588759104411,0.02042214075724284,0.019181370735168457,0.01917421817779541,0.017356077829996742,0.016597112019856773,0.015541513760884603,0.014545917510986328
_soft_PR_neg,0.009537339210510254,0.010919968287150065,0.010152856508890789,0.013690988222757975,0.013868610064188639,0.015068848927815756,0.013948281606038412,0.014018813769022623,0.013340512911478678,0.013101299603780111,0.00988304615020752,0.01095592975616455,0.010364452997843426,0.009723901748657227
_soft_RE_neg,0.009469588597615559,0.010808706283569336,0.010023315747578938,0.013744433720906576,0.013851523399353027,0.014114181200663248,0.013992389043172201,0.014056960741678873,0.013370315233866373,0.013248920440673828,0.010358492533365887,0.011264681816101074,0.010229945182800293,0.009729663530985514
_soft_F1_neg,0.013434489568074545,0.014710823694864908,0.014514327049255371,0.019568999608357746,0.019617279370625813,0.019793709119160972,0.02019782861073812,0.019623835881551106,0.018589695294698082,0.0184553861618042,0.014008879661560059,0.016043384869893394,0.015316406885782877,0.01429001490275065
Atten_C,0.03362715244293213,0.03465076287587484,0.03547112147013347,0.04059632619222005,0.04048645496368408,0.04030009110768636,0.04017353057861328,0.04023512204488118,0.04003167152404785,0.039269725481669106,0.03540078798929851,0.03621478875478108,0.03462155659993489,0.035190979639689125
Atten_NC,0.03254930178324382,0.03312647342681885,0.03368258476257324,0.03726184368133545,0.03868579864501953,0.03721654415130615,0.0370552142461141,0.03735184669494629,0.03709733486175537,0.03608206907908122,0.033776164054870605,0.03229022026062012,0.03341992696126302,0.032358765602111816
cpa!=,0.09538690249125162,0.09563585122426352,0.09232580661773682,0.11341830094655354,0.1146767536799113,0.1157758633295695,0.11098742485046387,0.11326511700948079,0.11338730653127034,0.11289616425832112,0.09779433409372965,0.095558762550354,0.0959332784016927,0.09453932444254556
cpl!=,0.05417227745056152,0.055072903633117676,0.054510037104288735,0.06546696027119955,0.06472468376159668,0.06557504336039226,0.06491780281066895,0.0659632682800293,0.06584366162618002,0.06971697012583414,0.055359601974487305,0.054708520571390785,0.05427797635396322,0.05494614442189535
cor!=,0.14912446339925128,0.14866650104522705,0.14603535334269208,0.17539898554484049,0.17790675163269043,0.17780462900797528,0.17508546511332196,0.17741143703460693,0.17760992050170898,0.18575648466746011,0.14904042085011798,0.15057484308878583,0.14734884103139242,0.14733393987019855
cpa>,0.09868482748667398,0.0952365001042684,0.09214798609415689,0.11261542638142903,0.12508730093638104,0.11192977428436279,0.1089392105738322,0.11128365993499756,0.11404673258463542,0.11569718519846599,0.09496668974558511,0.09606063365936279,0.09814163049062094,0.09912212689717612
cpl>,0.05853533744812012,0.05641976992289225,0.054457783699035645,0.0641260544459025,0.06848156452178955,0.06498972574869791,0.06602287292480469,0.06453474362691243,0.06412823994954428,0.06550689538319907,0.05558788776397705,0.05576570828755697,0.054029226303100586,0.05464573701222738
cor>,0.15459458033243817,0.1494111617406209,0.14593025048573813,0.17356654008229572,0.17644047737121582,0.17455557982126874,0.17326732476552328,0.18008371194203693,0.17672797044118244,0.17694056034088135,0.1478548844655355,0.14815171559651694,0.1524752378463745,0.15450775623321533
cpa<,0.09348452091217041,0.09138862291971843,0.08887628714243571,0.11124928792317708,0.11253714561462402,0.11193454265594482,0.1107323169708252,0.11267205079396565,0.10692874590555827,0.10732849438985188,0.09000877539316812,0.0923458735148112,0.09721140066782634,0.0992127259572347
cpl<,0.057013233502705894,0.054819981257120766,0.054585536321004234,0.06408552328745523,0.06384948889414468,0.06388425827026367,0.067291259765625,0.06406029065450033,0.06349027156829834,0.06494760513305664,0.055329600969950356,0.05665143330891927,0.05407214164733887,0.0542984406153361
cor<,0.15092253684997559,0.15015959739685059,0.14406065146128338,0.17353216807047528,0.17224629720052084,0.1730002959569295,0.174524188041687,0.17625351746877033,0.16898095607757568,0.17154733339945474,0.14407694339752197,0.14833509922027588,0.15042106310526532,0.15156686305999756
cor_nosign,0.1545494794845581,0.15377124150594076,0.14510631561279297,0.17655928929646808,0.17562508583068848,0.17918109893798828,0.17872273921966553,0.17677326997121173,0.17699023087819415,0.17696797847747803,0.14700392882029217,0.15047669410705566,0.14722148577372235,0.1478278636932373
cor_sign,0.29620349407196045,0.29461562633514404,0.3012468417485555,0.35212020079294837,0.34488479296366376,0.34804026285807294,0.34666577974955237,0.34787277380625403,0.34192919731140137,0.3427579005559286,0.29158711433410645,0.29616514841715497,0.3007541100184123,0.303231676419576
