,GradCAM,GradCAMPP,Saliency,DeconvNet,GradientInput,GuidedBackprop,IntegratedGradients,SmoothGrad,SquareGrad,VarGrad,Occlusion,Rise,KernelShap,Lime
Deletion,0.20763888955116272,0.19847221672534943,0.15615741908550262,0.18384258449077606,0.18453702330589294,0.18384258449077606,0.13111111521720886,0.13111111521720886,0.13111111521720886,0.13111111521720886,0.16120371222496033,0.13111111521720886,0.23657408356666565,0.21648147702217102
Insertion,0.7852315306663513,0.7893981337547302,0.8455554842948914,0.8147684931755066,0.818148136138916,0.8147684931755066,0.9150926470756531,0.908657431602478,0.9362963438034058,0.929490864276886,0.8347222208976746,0.9366666674613953,0.776712954044342,0.7985185384750366
MuFidelity,-0.026305609907795586,-0.031865695901893296,0.00759638487032831,0.5076619096139529,0.6376410047381645,0.4961199905497032,0.7303177294988509,0.5837646108956122,0.6603434245880369,0.6432393652855068,0.016594452106393577,0.008151667414143362,-0.008654599653883283,0.005864359315789705
CosSim,0.1261310503152141,0.12293799703385107,0.34075669991153934,0.6336734472449972,0.7734656235460101,0.6336734472449972,0.8782124227160673,0.701178867293449,0.4730806409863083,0.4806646326574143,0.17546290468735423,0.1329053822050324,0.17935840935457234,0.18050393400619413
_CosSim,0.12462043174190558,0.12142737846054256,0.33849015237793095,0.6009961292301288,0.738289191392169,0.6009961292301288,0.8769981834277079,0.6976917663240947,0.4676196032815225,0.478381865494078,0.17395228611404573,0.1329053822050324,0.17935840935457234,0.18050393400619413
SSIM,0.2036504108363956,0.13608095453721497,0.6762947381255124,0.8968216776847839,0.9243696928024292,0.8968216776847839,0.9432094693183899,0.9044809341430664,0.8835235834121704,0.8933979272842407,0.6728466706082323,0.008258288936321856,0.15181480901499406,0.13961077177524847
Conciseness,0.38398662551440327,0.2577906378600823,0.6662705761316869,0.6890012002743482,0.9537465706447186,0.6890012002743482,0.8751448902606309,0.027299382716049387,0.03235339506172839,0.056831275720164595,0.9298353909465014,0.0,0.00010288065843621398,0.0
F1,0.1662596732524403,0.14908219493387206,0.49498804655247647,0.46702680470369184,0.35491105985268,0.46702680470369184,0.16419290592181338,0.057403218056547654,0.056493743110001785,0.062170298587035454,0.5988389558428749,0.16174727950060236,0.1617588151226031,0.16174727950060236
MAE,0.2770238895988677,0.32244529002741507,0.05214616221640693,0.014691569139811317,0.009268820031647963,0.014691569139811317,0.00737117564622976,0.015340681474083065,0.014292083078071982,0.013868239631419092,0.07543960068562011,0.5927747671699455,0.38986501497900344,0.3861144818168499
IoU,0.09649337841369682,0.08486672223622552,0.4249308862433862,0.40895039264842686,0.24594028015678857,0.40895039264842686,0.09610418756135373,0.030897514563985366,0.029579874970347676,0.036311915333601494,0.4747075629427381,0.09187242798353908,0.09187893941761731,0.09187242798353908
PR,0.2057221692279117,0.18364261368358228,0.6753703703703704,0.5930836424395712,0.6128928791612095,0.5930836424395712,0.15867094939564033,0.039173673711855046,0.04234224965706447,0.05374142661179698,0.6958895502645502,0.09187242798353909,0.09187893941761734,0.09187242798353909
RE,0.8142609126984126,0.8533303571428572,0.7045605158730159,0.7021230158730158,0.36761068594104307,0.7021230158730158,0.4421054421768707,0.9750714285714286,0.9689241071428573,0.9525982142857142,0.6436904761904761,1.0,1.0,1.0
EBPG,0.28510743379592896,0.2600521743297577,0.9125131368637085,0.8452545404434204,0.8446382284164429,0.8452545404434204,0.9378150701522827,0.9460694193840027,0.9482482671737671,0.9533632397651672,0.6971298456192017,0.1250339299440384,0.12179426103830338,0.12043440341949463
