,GradCAM,GradCAMPP,Saliency,DeconvNet,GradientInput,GuidedBackprop,IntegratedGradients,SmoothGrad,SquareGrad,VarGrad,Occlusion,Rise,KernelShap,Lime
Deletion,6.765681703885396,1.9921618700027466,2.0109591881434126,1.9954355557759602,2.011990348498027,2.020614544550578,2.0015178124109907,1.9686820109685261,1.9891391197840373,1.9532503684361777,1.9807159900665283,1.9215295712153118,1.9635931650797525,1.9648786385854087
Insertion,1.977779467900594,1.9507394234339397,2.0041392246882124,1.9578784704208374,1.9453378518422446,1.9902716080347698,1.9554851452509563,1.9214749336242676,1.9730345408121743,1.9314001003901164,1.9485362370808919,1.924434502919515,1.8973817427953084,1.9245070219039917
MuFidelity,28.650325338045757,22.034020225207012,22.041775981585182,21.966150800387062,22.226078708966572,22.41262217362722,21.88794712225596,22.081479231516518,22.065912683804832,21.525163253148396,22.05383459726969,21.46658957004547,21.679766376813255,22.000230948130287
CosSim,0.011933644612630207,0.011791984240214031,0.011750260988871258,0.01562952995300293,0.013609925905863443,0.013654232025146484,0.014593005180358887,0.014086564381917318,0.014107823371887207,0.013906160990397135,0.012166897455851236,0.011748870213826496,0.011747479438781738,0.013381640116373697
_CosSim,0.008560617764790853,0.008495052655537922,0.008446375528971355,0.01049478848775228,0.009542504946390787,0.009537140528361004,0.009541908899943035,0.009434620539347332,0.00942548116048177,0.009723305702209473,0.008917252222696941,0.007977286974589031,0.009050766626993816,0.008748769760131836
SSIM,0.17726103464762372,0.1774694522221883,0.17403324445088703,0.6378297011057535,0.5785048007965088,0.5699185530344646,0.5722407499949137,0.5751351515452068,0.6480896472930908,0.6347733736038208,0.1750423510869344,0.17261127630869547,0.1757387320200602,0.17821649710337323
Conciseness,0.009600321451822918,0.009769399960835774,0.009649197260538738,0.01002947489420573,0.009929140408833822,0.00993192195892334,0.009833176930745442,0.01010894775390625,0.010699828465779623,0.00970621903737386,0.009084939956665039,0.009385744730631512,0.010080734888712566,0.010469555854797363
F1,1.6612086693445842,1.681248148282369,1.6541757186253865,1.7093865076700847,1.7102791865666707,1.7096010843912761,1.7270855108896892,1.7042205731074016,1.7141884565353394,1.6982307036717732,1.6604785124460857,1.6511603196461995,1.6833736499150593,1.6829770803451538
MAE,0.33046821753184,0.3362945715586344,0.32719333966573083,0.35321334997812903,0.34544905026753747,0.34869909286499023,0.34328202406565345,0.37256181240081787,0.34020423889160156,0.3562589486440023,0.3350585699081421,0.3317354122797648,0.32495439052581787,0.3311002254486084
IoU,1.4784916241963706,1.4821690320968628,1.4675925175348916,1.5343662103017173,1.537819504737854,1.5216509501139324,1.543934146563212,1.5290365616480508,1.5319363276163735,1.5217413504918418,1.4765079816182456,1.4543561140696208,1.4785528182983398,1.4911363522211711
PR,1.6761233409245808,1.6910336414972942,1.6779472430547078,1.7241875330607097,1.7589950561523438,1.7064189910888672,1.7319786548614502,1.7186293999354045,1.6951648394266765,1.724039912223816,1.683066685994466,1.6554874181747437,1.6891151666641235,1.6761712233225505
RE,1.6695598761240642,1.6823021570841472,1.6591934363047283,1.7067007223765056,1.7196832100550334,1.7149966955184937,1.7111857732137044,1.685238281885783,1.6786235570907593,1.6937150557835896,1.6537704070409138,1.6519759098688762,1.6582228740056355,1.6567341486612956
EBPG,0.02954145272572835,0.03187437852223714,0.029981533686319988,0.03349264462788899,0.03345529238382976,0.0332494576772054,0.033185084660847984,0.033027728398640946,0.033077994982401535,0.03354489803314209,0.029855767885843914,0.029802521069844563,0.02981404463450114,0.029850006103515625
RRA,0.02394417921702067,0.02593974272410075,0.024046897888183594,0.04244943459828694,0.038287242253621415,0.04188199838002522,0.04469335079193115,0.031091968218485515,0.031013091405232746,0.030581553777058918,0.02411166826883952,0.02462128798166911,0.024566253026326496,0.025263627370198567
soft_PR_abs,0.0299374262491862,0.03169755140940349,0.030478835105895996,0.03312349319458008,0.032745401064554855,0.032939910888671875,0.03299355506896973,0.03362536430358887,0.03342270851135254,0.033764441808064774,0.03058175245920817,0.030100146929423015,0.03006875514984131,0.030551950136820476
soft_RE_abs,0.03513256708780924,0.035557548205057785,0.03513912359873454,0.03985583782196045,0.039750536282857254,0.04001577695210775,0.04100620746612549,0.03997166951497396,0.04094819227854411,0.03979504108428955,0.03556867440541585,0.03587663173675537,0.03540376822153727,0.035955707232157394
soft_F1_abs,0.04117508729298909,0.04293342431386312,0.04119217395782471,0.04664083321889242,0.04638552665710449,0.046561360359191895,0.04723648230234782,0.04659811655680339,0.04645148913065592,0.04648347695668538,0.041430791219075516,0.041574438412984215,0.041104157765706376,0.04208564758300781
soft_PR_pos,0.02830684185028076,0.028595129648844402,0.02847413221995036,0.03252645333607991,0.03208816051483154,0.03195603688557943,0.03221412499745687,0.032109220822652176,0.031902988751729325,0.03248870372772217,0.028151273727416992,0.028551618258158367,0.02852181593577067,0.02892414728800456
soft_RE_pos,0.03532787164052327,0.03525475660959879,0.034925738970438644,0.03961543242136638,0.03975470860799153,0.04089136918385823,0.041529734929402665,0.039884845415751144,0.03934065500895183,0.040300091107686356,0.035198330879211426,0.035443107287089035,0.035272836685180664,0.03628174463907878
soft_F1_pos,0.041052500406901046,0.041593710581461586,0.04107515017191569,0.04665414492289226,0.045828024546305336,0.04671374956766765,0.047671993573506675,0.046704014142354325,0.046146512031555176,0.0466535488764445,0.04133045673370361,0.04141648610432943,0.04156649112701416,0.04251321156819662
soft_PR_neg,0.028038819630940754,0.028081734975179035,0.0282210111618042,0.03232141335805257,0.032626191775004074,0.03204762935638428,0.0319214661916097,0.031908551851908364,0.031595031420389816,0.03181934356689453,0.028235316276550293,0.02841333548227946,0.028346578280131023,0.028932889302571613
soft_RE_neg,0.03188908100128174,0.031996170679728195,0.03162701924641927,0.039330124855041504,0.039129654566446945,0.03943065802256266,0.0395512580871582,0.03998061021169026,0.035787224769592285,0.036414265632629395,0.032057762145996094,0.03199656804402669,0.03458559513092041,0.03498176733652751
soft_F1_neg,0.03614405790964763,0.03658334414164225,0.03616074721018474,0.04613419373830159,0.045370658238728837,0.04572590192159017,0.04624128341674805,0.04693369070688884,0.040917396545410156,0.04105647404988606,0.03610372543334961,0.036586125691731766,0.04030426343282063,0.04079699516296387
_soft_PR_abs,0.007833043734232586,0.007912516593933105,0.007877945899963379,0.009666085243225098,0.009611050287882486,0.009502371152242025,0.009630521138509113,0.009441375732421875,0.00930031140645345,0.009500384330749512,0.007936755816141765,0.007846156756083172,0.00788549582163493,0.007967154184977215
